restaurantId,restaurantName,numOfEmployees,restaurantType,location[district],location[wilaya],location[country],
310610000,Gourmet Delight,31,OWNED,Oran,Arzew,Algeria
153818110,Urban Eats,28,FRANCHISED,Tizi-Ouzou,Tigzirt,Algeria
272922281,Flavor Fusion,30,OWNED,Mostaganem,Souaflia,Algeria
263324290,Culinary Oasis,33,FRANCHISED,Médéa,Médéa,Algeria
580130071,Savor Street,23,OWNED,Meniaa,El Menia,Algeria
213528160,Epicurean Haven,25,FRANCHISED,Skikda,Skikda,Algeria
101621290,Tasty Trails,22,OWNED,Bouira,Bouira,Algeria
390131040,Zestful Bites,36,FRANCHISED,El Oued,El Oued,Algeria
271811221,Palate Paradise,39,OWNED,Mostaganem,Mostaganem,Algeria
483129040,Mingle Munch,20,FRANCHISED,Relizane,Relizane,Algeria
156430160,Delish Diner,24,OWNED,Tizi-Ouzou,Tadmaït,Algeria
330425181,Bistro Bloom,37,FRANCHISED,Illizi,In Amenas,Algeria
201125151,Sizzling Spoons,29,OWNED,Saïda,Saïda,Algeria
164621020,Tantalize Taste,40,FRANCHISED,Alger,Zeralda,Algeria
193022161,Gastronomic Grove,35,OWNED,Sétif,Djemila,Algeria
481022030,Fusion Fare,34,FRANCHISED,Relizane,Djidioua,Algeria
101721100,Blissful Bites,32,OWNED,Bouira,Chorfa,Algeria
370230230,Zesty Zing,38,FRANCHISED,Tindouf,Tindouf,Algeria
130118270,Crave Craze,26,OWNED,Tlemcen,Tlemcen,Algeria
223720100,Savory Spot,27,FRANCHISED,Sidi Bel Abbès,Sidi Bel Abbès,Algeria
132716151,Wholesome Harvest,21,OWNED,Tlemcen,Maghnia,Algeria
302625011,Velvet Vines,20,FRANCHISED,Médéa,El Omaria,Algeria
443120121,Sizzle & Griddle,39,OWNED,Aïn Defla,Rouina,Algeria
162113120,Rustic Roots,40,FRANCHISED,Alger,Bab Ezzouar,Algeria
271714080,Munch & Crunch,30,OWNED,Mostaganem,Mazagran,Algeria
490910161,Urban Spice,35,FRANCHISED,Timimoun,Timimoun,Algeria
310922291,Tango Tacos,33,OWNED,Oran,Aïn El Turk,Algeria
241921071,Divine Dishes,38,FRANCHISED,Guelma,Guelma,Algeria
161715150,Blue Mesa Grill,26,OWNED,Alger,Hussein Dey,Algeria
401317260,Spice Symphony,28,FRANCHISED,Khenchela,Khenchela,Algeria
162330091,Tasty Trails,20,OWNED,Alger,Dely Ibrahim,Algeria
100113121,Bamboo Bites,23,FRANCHISED,Bouira,Aïn Bessem,Algeria
180113020,Fireside Flavors,31,OWNED,Jijel,Jijel,Algeria
163019071,Epicurean Echo,24,FRANCHISED,Alger,Bordj El Kiffan,Algeria
250620120,Ember Eats,22,OWNED,Constantine,Constantine,Algeria
230126161,Savvy Spoons,27,FRANCHISED,Annaba,Annaba,Algeria
195517050,Coastal Cove,25,OWNED,Sétif,Sétif,Algeria
340611230,Zingify,40,FRANCHISED,Bordj Bou Arreridj,Bordj Bou Arreridj,Algeria
193921010,Citrus Sizzle,37,OWNED,Sétif,Hamma,Algeria
253028050,Mystic Morsels,20,FRANCHISED,Constantine,Ibn Badis,Algeria